Q590283	P8814	"01981096-n"
Q590283	P5063	"i45745"
Q844839	P8814	"01982515-n"
Q844839	P5063	"i45754"
Q40628380	P8814	"01983471-n"
Q40628380	P5063	"i45760"
Q273655	P8814	"01984988-n"
Q273655	P5063	"i45769"
Q40481921	P8814	"01986470-n"
Q40481921	P5063	"i45777"
Q551915	P8814	"01986886-n"
Q551915	P5063	"i45780"
Q992625	P8814	"01991510-n"
Q992625	P5063	"i45808"
Q1135229	P8814	"01998340-n"
Q1135229	P5063	"i45849"
Q40982388	P8814	"02001395-n"
Q40982388	P5063	"i45867"
Q15896367	P8814	"02001840-n"
Q15896367	P5063	"i45870"
Q25398	P8814	"02005378-n"
Q25398	P5063	"i45885"
Q18700	P8814	"02008053-n"
Q18700	P5063	"i45901"
Q11844301	P8814	"02008717-n"
Q11844301	P5063	"i45905"
Q107333222	P8814	"02009938-n"
Q107333222	P5063	"i45913"
Q110257447	P8814	"02011297-n"
Q110257447	P5063	"i45920"
Q371028	P8814	"02011883-n"
Q371028	P5063	"i45923"
Q25664280	P8814	"02012404-n"
Q25664280	P5063	"i45927"
Q764282	P8814	"02013670-n"
Q764282	P5063	"i45935"
Q210341	P8814	"02013935-n"
Q210341	P5063	"i45937"
Q25709	P8814	"02014597-n"
Q25709	P5063	"i45941"
Q469586	P8814	"02014839-n"
Q469586	P5063	"i45943"
Q903662	P8814	"02016891-n"
Q903662	P5063	"i45954"
Q933531	P8814	"02017178-n"
Q933531	P5063	"i45956"
Q194024	P8814	"02018720-n"
Q194024	P5063	"i45965"
Q18847	P8814	"02019470-n"
Q18847	P5063	"i45969"
Q187902	P8814	"02019867-n"
Q187902	P5063	"i45972"
Q40642457	P8814	"02020129-n"
Q40642457	P5063	"i45974"
Q50407554	P8814	"02022873-n"
Q50407554	P5063	"i45991"
Q665606	P8814	"02023232-n"
Q665606	P5063	"i45994"
Q618751	P8814	"02028043-n"
Q618751	P5063	"i46017"
Q18850	P8814	"02029602-n"
Q18850	P5063	"i46023"
Q106447283	P8814	"02030146-n"
Q106447283	P5063	"i46027"
Q28000	P8814	"02031105-n"
Q28000	P5063	"i46033"
Q107333207	P8814	"02032032-n"
Q107333207	P5063	"i46039"
Q530194	P8814	"02032360-n"
Q530194	P5063	"i46041"
Q1265652	P8814	"02033222-n"
Q1265652	P5063	"i46047"
Q25664334	P8814	"02033491-n"
Q25664334	P5063	"i46049"
Q25692	P8814	"02034876-n"
Q25692	P5063	"i46057"
Q476350	P8814	"02035978-n"
Q476350	P5063	"i46065"
Q280358	P8814	"02037625-n"
Q280358	P5063	"i46075"
Q178821	P8814	"02037864-n"
Q178821	P5063	"i46076"
Q45696	P8814	"02041120-n"
Q45696	P5063	"i46095"
Q219199	P8814	"02042151-n"
Q219199	P5063	"i46101"
Q835119	P8814	"02042434-n"
Q835119	P5063	"i46103"
Q184834	P8814	"02042920-n"
Q184834	P5063	"i46106"
Q28236	P8814	"02044700-n"
Q28236	P5063	"i46115"
Q723064	P8814	"02045126-n"
Q723064	P5063	"i46118"
Q18875	P8814	"02045987-n"
Q18875	P5063	"i46124"
Q203053	P8814	"02047171-n"
Q203053	P5063	"i46131"
Q26685	P8814	"02050629-n"
Q26685	P5063	"i46154"
Q855367	P8814	"02050769-n"
Q855367	P5063	"i46155"
Q50726540	P8814	"02051007-n"
Q50726540	P5063	"i46157"
Q179919	P8814	"02053096-n"
Q179919	P5063	"i46169"
Q185183	P8814	"02053240-n"
Q185183	P5063	"i46170"
Q735190	P8814	"02054858-n"
Q735190	P5063	"i46179"
Q199427	P8814	"02055019-n"
Q199427	P5063	"i46180"
Q106447807	P8814	"02056079-n"
Q106447807	P5063	"i46187"
Q469940	P8814	"02057365-n"
Q469940	P5063	"i46195"
Q187958	P8814	"02058882-n"
Q187958	P5063	"i46204"
Q244813	P8814	"02059689-n"
Q244813	P5063	"i46209"
Q208682	P8814	"02061248-n"
Q208682	P5063	"i46218"
Q276206	P8814	"02062194-n"
Q276206	P5063	"i46223"
Q26896	P8814	"02062786-n"
Q26896	P5063	"i46227"
Q607024	P8814	"02064213-n"
