wn_synset,wn_definition,wn_ili,wn_members,wn_wd_qid
02650804-n,alligatorfishes,i49650,Aspidophoroides|genus Aspidophoroides,Q1449104
02651712-n,a genus of Hexagrammidae,i49656,Oxylebius|genus Oxylebius,Q2183433
02652030-n,scorpaenoid flatheads,i49658,Platycephalidae|family Platycephalidae,Q1072599
02652912-n,type genus of the Triglidae,i49662,Triga|genus Triga,Q14506504
02654042-n,in some classifications the type genus of the subfamily Peristediinae: armored sea robins,i49669,Peristedion|genus Peristedion,Q1951787
02654635-n,a genus of Dactylopteridae,i49672,Dactylopterus|genus Dactylopterus,Q16538599
02654965-n,"boxfishes, filefishes, globefishes, ocean sunfishes, triggerfishes, puffers",i49674,Plectognathi|order Plectognathi|order Tetraodontiformes,Q211837
02655989-n,type genus of the Balistidae,i49678,Balistes|genus Balistes,Q35016
02656285-n,filefishes,i49680,Monocanthidae|family Monocanthidae,Q948098
02656595-n,type genus of the Monocanthidae,i49682,Monocanthus|genus Monocanthus,Q56847
02657239-n,a genus of Ostraciidae,i49686,Lactophrys|genus Lactophrys,Q82855
02658324-n,type genus of the Diodontidae,i49692,Diodon|genus Diodon,Q1809104
02658801-n,burrfishes,i49695,Chilomycterus|genus Chilomycterus,Q2690499
02659180-n,type genus of the Molidae,i49698,genus Mola,Q1178471
02661011-n,type genus of the Pleuronectidae,i49706,Pleuronectes|genus Pleuronectes,Q572495
02661300-n,a genus of Pleuronectidae containing the starry flounders (Platichthys),i49708,Platichthys|genus Platichthys,Q849396
02662297-n,a genus of Pleuronectidae containing the righteye flounders native to the North Pacific and Northeast Atlantic Oceans (Microstomus),i49714,Microstomus|genus Microstomus,Q549006
02663042-n,halibuts,i49719,Hippoglossus|genus Hippoglossus,Q2697230
02663399-n,a family of fish of the order Heterosomata,i49722,Bothidae|family Bothidae,Q838524
02664395-n,"a genus of Bothidae, containing the large-tooth flounders native to the coastal waters of the Americas (Etropus)",i49727,Etropus|genus Etropus,Q5404893
02664711-n,"a genus of Bothidae, containing some of the large-tooth flounders, sanddabs, whiffs, and flounders (Citharichthys)",i49729,Citharichthys|genus Citharichthys,Q2491501
02665318-n,"a genus of Bothidae, containing some of the turbots (Scophthalmus)",i49733,Scophthalmus|genus Scophthalmus,Q2705790
02665716-n,a genus of Bothidae,i49736,Psetta|genus Psetta,Q2499212
02666766-n,type genus of the Soleidae,i49742,Solea|genus Solea,Q531725
02667141-n,"a genus of Soleidae, containing the English sole (Parophrys)",i49745,Parophrys|genus Parophrys,Q3014512
02667453-n,"a genus of Soleidae, containing the Pacific sand sole (Psettichthys)",i49747,Psettichthys|genus Psettichthys,Q14672291
02667749-n,"a genus of Soleidae, containing the hogchoker (Trinectes)",i49749,Trinectes|genus Trinectes,Q224890
08808051-n,the fields in Thessaly where in 197 BC the Romans defeated the Macedonians,i83060,Cynoscephalae,n.a
09009061-n,a peninsula extending northward from the Arabian mainland into the Persian Gulf,i83914,Qatar|Qatar Peninsula|Katar|Katar Peninsula,Q65159628
10826216-n,the Zoroastrian god of time,i94235,Zurvan,Q1423009
11351058-n,United States surrealist painter (born in France) (1900-1955),i97099,Tanguy|Yves Tanguy,Q164720
11558792-n,hornworts; liverworts having a thalloid gametophyte; in some classification systems included in the class Hepaticopsida,i98233,Anthocerotales|order Anthocerotales,Q5696912
11559033-n,the family of hornworts (Anthocerotaceae),i98234,Anthocerotaceae|family Anthocerotaceae,Q1050205
11559386-n,"true mosses: bryophytes having leafy rather than thalloid gametophytes: comprises orders Andreaeales, Bryales, Dicranales, Eubryales, Sphagnales",i98237,Bryopsida|class Bryopsida|Musci|class Musci,Q831482
11560126-n,comprises a single genus: Andreaea,i98240,Andreaeales|order Andreaeales,Q2846441
11560451-n,category used in some classification systems for mosses having the spore case separated from the capsule wall by a hollow intercellular space,i98242,Bryales|order Bryales,Q140344
11560681-n,widely distributed order of mosses with erect gametophores and sporophytes at the tips of stems,i98243,Dicranales|order Dicranales,Q141514
11561198-n,mosses with perennial erect gametophores and stems with rows of leaves and drooping capsules,i98246,Eubryales|order Eubryales,Q17277039
11561421-n,a family of acrocarpous mosses,i98247,Bryaceae|family Bryaceae,Q140324
11561562-n,type genus of the Bryaceae: mosses distinguished by mostly erect and tufted gametophytes and symmetrical short-necked capsules,i98248,Bryum|genus Bryum,Q146228
11562164-n,coextensive with the genus Sphagnum; in some classifications isolated in a separate subclass,i98251,Sphagnales|order Sphagnales,Q1138673
11562792-n,"liverworts: comprises orders Anthocerotales, Jungermanniales, Marchantiales, Sphaerocarpales",i98254,Hepaticopsida|class Hepaticopsida|Hepaticae|class Hepaticae,Q16111747
11563880-n,liverworts with gametophyte differentiated internally,i98259,Marchantiales|order Marchantiales,Q139099
11564053-n,liverworts with prostrate and usually dichotomously branched thalli,i98260,Marchantiaceae|family Marchantiaceae,Q138798
11564582-n,small order sometimes included in the order Jungermanniales,i98263,Sphaerocarpales|order Sphaerocarpales,Q147918
11615763-n,plants having naked seeds not enclosed in an ovary; in some systems considered a class (Gymnospermae) and in others a division (Gymnospermophyta); comprises three subdivisions (or classes): Cycadophytina (class Cycadopsida) and Gnetophytina (class Gnetopsida) and Coniferophytina (class Coniferopsida); in some classifications the Coniferophytina are divided into three groups: Pinophytina (class Pinopsida) and Ginkgophytina (class Ginkgopsida) and Taxophytina (class Taxopsida),i98330,Gymnospermae|class Gymnospermae|Gymnospermophyta|division Gymnospermophyta,Q5625083
11616937-n,gymnospermous flowering plants; supposed link between conifers and angiosperms; in some systems classified as a class (Gnetopsida) and in others as a subdivision (Gnetophytina or Gnetophyta),i98333,Gnetopsida|class Gnetopsida|Gnetophytina|subdivision Gnetophytina|Gnetophyta,Q1011212
11617296-n,chiefly tropical or xerophytic woody plants; practically unknown as fossils but considered close to the ancestral line of angiosperms,i98334,Gnetales|order Gnetales,Q2705562
11617577-n,plants having small unisexual flowers and fleshy or winged fruit: in some classifications includes the genera Ephedra and Welwitschia as well as genus Gnetum,i98335,Gnetaceae|family Gnetaceae,Q2056554
11618375-n,ephedras: in some classifications included in the Gnetaceae,i98338,Ephedraceae|family Ephedraceae,Q10376735
11618551-n,a genus of African evergreen shrubs characterized by thick leaves and white flowers,i98339,Catha|genus Catha,Q8342894
11619442-n,in some classifications included in the Gnetaceae,i98344,Welwitschiaceae|family Welwitschiaceae,Q10780833
11619616-n,type and sole genus of Welwitschiaceae,i98345,genus Welwitschia|genus Welwitchia,Q15044266
11620145-n,palmlike gymnosperms: includes the surviving order Cycadales and several extinct orders; possibly not a natural group; in some systems considered a class (Cycadopsida) and in others a subdivision (Cycadophytina or Cycadophyta),i98347,Cycadopsida|class Cycadopsida|Cycadophytina|subdivision Cycadophytina|Cycadophyta|subdivision Cycadophyta,Q5605610
11621122-n,ancient palmlike plants closely related to ferns in that fertilization is by means of spermatozoids,i98350,Cycadaceae|family Cycadaceae|cycad family,Q11773804
11621938-n,a family of cycads often included in the family Cycadaceae: zamias,i98354,Zamiaceae|family Zamiaceae|zamia family,Q133329
11624676-n,fossil gymnospermous plants of the Carboniferous,i98368,Bennettitales|order Bennettitales,Q132823
11624844-n,a family of fossil gymnospermous plants of the Carboniferous,i98369,Bennettitaceae|family Bennettitaceae,Q15050378
11625149-n,extinct gymnosperms most of Carboniferous to Jurassic: seed ferns and allies,i98371,Pteridospermopsida|class Pteridospermopsida,Q15617175
11625355-n,fossil gymnospermous trees or climbing plants from the Devonian: seed ferns,i98372,Cycadofilicales|order Cycadofilicales|Lyginopteridales|order Lyginopteridales,Q573940
11625847-n,genus of fossil seed ferns of the Carboniferous,i98374,Lyginopteris|genus Lyginopteris,Q3840994
11626159-n,cone-bearing gymnosperms dating from the Carboniferous period; most are substantial trees; includes the classes Pinopsida (subdivision Pinophytina) and Ginkgopsida (subdivision Ginkgophytina) and Taxopsida (subdivision Taxophytina) which in turn include the surviving orders Coniferales and Taxales (yews) and sometimes Ginkgoales as well as extinct orders such as Cordaitales (of the Carboniferous and Permian),i98376,Coniferopsida|class Coniferopsida|Coniferophytina|subdivision Coniferophytina|Coniferophyta,Q16050271
11627522-n,most conifers: in some systems classified as a class (Pinopsida) and in others as a subdivision (Pinophytina); used in some classifications for one of five subdivisions of Gymnospermophyta,i98380,Pinopsida|class Pinopsida|Pinophytina|subdivision Pinophytina,Q1329304
11627843-n,profusely branching and chiefly evergreen trees and some shrubs having narrow or needlelike leaves,i98381,Coniferales|order Coniferales,Q14107023
11628190-n,a family of Pinaceae,i98382,Pinaceae|family Pinaceae|pine family,Q101680
11628506-n,type genus of the Pinaceae: large genus of true pines,i98383,Pinus|genus Pinus,Q12024
11639201-n,larches,i98432,Larix|genus Larix,Q25618
11643439-n,true cedars,i98454,Cedrus|genus Cedrus,Q128550
11648735-n,douglas fir; closely related to genera Larix and Cathaya,i98482,Pseudotsuga|genus Pseudotsuga,Q158771
11649662-n,one species; related to Pseudotsuga and Larix,i98487,genus Cathaya,Q1543178
11649952-n,cypresses and junipers and many cedars,i98489,Cupressaceae|family Cupressaceae|cypress family,Q146037
11653245-n,a genus of gymnosperm,i98502,Athrotaxis|genus Athrotaxis,Q1368777
11653567-n,one species; formerly included in genus Libocedrus,i98504,Austrocedrus|genus Austrocedrus,Q1072934
11654977-n,tall evergreens of western North America and eastern Asia; formerly included in genus Libocedrus,i98512,Calocedrus|genus Calocedrus,Q765246
11656519-n,Japanese cedar; sugi,i98519,Cryptomeria|genus Cryptomeria,Q12323064
11659353-n,cypresses that resemble cedars,i98534,Libocedrus|genus Libocedrus,Q2340419
11660314-n,genus of deciduous conifers comprising both living and fossil forms; 1 extant species: dawn redwood of China; variously classified as member of Pinaceae or Taxodiaceae,i98539,genus Metasequoia,Q1825748
11661726-n,giant sequoias; sometimes included in the genus Sequoia; until recently placed in the Taxodiaceae,i98545,Sequoiadendron|genus Sequoiadendron,Q14707792
11662239-n,bald cypress; swamp cypress,i98547,Taxodium|genus Taxodium,Q147392
11663363-n,sandarac tree,i98552,Tetraclinis|genus Tetraclinis,Q13091238
11665163-n,one species; has close similarity to genus Thuja,i98561,Thujopsis|genus Thujopsis,Q12317810
11665722-n,tall evergreen cone-bearing trees of South America and Australia with broad leathery leaves; in some classifications included in the Pinaceae,i98565,Araucariaceae|family Araucariaceae|araucaria family,Q217697
11669068-n,the genus of Cephalotaxus (see plum-yews),i98582,Cephalotaxus|genus Cephalotaxus,Q933520
11669463-n,nutmeg-yews,i98584,Torreya|genus Torreya,Q429944
11670048-n,a family of Phyllocladaceae,i98587,Phyllocladaceae|family Phyllocladaceae,Q33138051
11670200-n,celery pine,i98588,Phyllocladus|genus Phyllocladus,Q134249
11674575-n,Australasian evergreen trees or shrubs,i98610,Dacrydium|genus Dacrydium,Q1482244
11675118-n,sickle pines: dioecious evergreen tropical trees and shrubs having sickle-shaped leaves; similar to Dacrycarpus in habit; Malaysia and Philippines to New Guinea and New Caledonia,i98613,Falcatifolium|genus Falcatifolium,Q133717
11676215-n,genus of dioecious evergreen trees of New Zealand and Tasmania; similar to genus Dacrydium,i98618,Lagarostrobus|genus Lagarostrobus,Q3216153
11677425-n,2 species of small evergreen shrubs of Australia and Tasmania,i98624,Microstrobos|genus Microstrobos,Q135762
11678214-n,one species: parasite yew,i98628,Parasitaxus|genus Parasitaxus,Q13077228
11679323-n,small genus of tropical evergreen dioecious shrubs or trees of Oceania and tropical South America,i98634,Retrophyllum|genus Retrophyllum,Q138257
11679519-n,one species: Prince Albert's yew,i98635,Saxe-gothea|Saxegothea|genus Saxe-gothea|genus Saxegothea,Q13080853
11679951-n,a genus of conifers containing Sundacarpus amarus (Sundacarpus),i98637,Sundacarpus|genus Sundacarpus,Q13080891
11680360-n,family comprising a single genus that until recently was considered part of Taxodiaceae,i98639,Sciadopityaceae|family Sciadopityaceae,Q520165
11680572-n,type and sole genus of Sciadopityaceae; Japanese umbrella pines,i98640,Sciadopitys|genus Sciadopitys,Q3065538
11680988-n,yews: in some systems classified as a class (Taxopsida) and in others as a subdivision (Taxophytina) used in some classifications for one of five subdivisions of Gymnospermophyta,i98642,Taxopsida|class Taxopsida|Taxophytina|subdivision Taxophytina,Q99048207
11681299-n,coextensive with the family Taxaceae: yews,i98643,Taxales|order Taxales,Q2697797
11681658-n,yews,i98645,Taxus|genus Taxus,Q27355
11683215-n,a gymnosperm genus having one species: New Caledonian yew,i98652,Austrotaxus|genus Austrotaxus,Q13052844
11683587-n,"a genus containing Pseudotaxus chienii, or the white-berry yew (Pseudotaxus)",i98654,Pseudotaxus|genus Pseudotaxus,Q13080832
11683900-n,ginkgos: in some systems classified as a class and in others as a subdivision; used in some classifications for one of five subdivisions of Gymnospermophyta,i98656,Ginkgopsida|class Ginkgopsida|Ginkgophytina|class Ginkgophytina|subdivision Ginkgophytina|subdivision Ginkgophyta,Q10788836
11684264-n,coextensive with the family Ginkgoaceae: plants that first appeared in the Permian and now represented by a single surviving species; often included in Coniferales,i98657,Ginkgoales|order Ginkgoales,Q835097
11684752-n,sole surviving genus of the Ginkgoaceae,i98659,genus Ginkgo,Q149461
11714035-n,chiefly tropical trees or shrubs,i98797,Annonaceae|family Annonaceae|custard-apple family,Q220025
11716282-n,a genus of Malayan tree,i98808,Cananga|genus Cananga|Canangium|genus Canangium,Q3264724
11716807-n,genus of tropical trees,i98811,Oxandra|genus Oxandra,Q1331220
11717245-n,tropical evergreen trees or shrubs; chiefly African,i98814,Xylopia|genus Xylopia,Q2234889
11717627-n,shrubs or herbs,i98816,Berberidaceae|family Berberidaceae|barberry family,Q155949
11718902-n,blue cohosh,i98822,Caulophyllum|genus Caulophyllum,Q2671028
11719752-n,evergreen shrubs and small trees of North and Central America and Asia,i98826,Mahonia|genus Mahonia,Q157379
11720384-n,perennial rhizomatous herbs,i98829,Podophyllum|genus Podophyllum,Q732308
11720870-n,shrubs or small trees having aromatic bark; the eastern United States and eastern Asia,i98832,Calycanthaceae|family Calycanthaceae|calycanthus family|strawberry-shrub family,Q867622
11722372-n,coextensive with the genus Ceratophyllum: hornworts,i98839,Ceratophyllaceae|family Ceratophyllaceae,Q12012524
11723035-n,one species: katsura tree,i98843,Cercidiphyllum|genus Cercidiphyllum,Q858028
11723468-n,thick-stemmed lianas and some shrubs; some have edible fruit,i98845,Lardizabalaceae|family Lardizabalaceae|lardizabala family,Q840758
11723674-n,evergreen monoecious climbers of South America having dark mauve-blue edible berries,i98846,Lardizabala|genus Lardizabala,Q2603764
11724404-n,small evergreen trees or shrubs with aromatic leaves,i98849,Laurus|genus Laurus,Q21188
11724870-n,Asiatic and Australian aromatic trees and shrubs,i98851,Cinnamomum|genus Cinnamomum,Q27282
11726390-n,aromatic evergreen or deciduous dioecious shrubs or trees of eastern Asia and North America,i98859,Lindera|genus Lindera,Q311790
11726589-n,used in some classifications for the American spicebush and certain other plants often included in the genus Lindera,i98860,Benzoin|genus Benzoin,Q18337957
11727098-n,avocado,i98862,Persea|genus Persea,Q132039
