wn_synset,wn_definition,wn_ili,wn_members,wn_wd_qid
02641590-n,type genus of the Amiidae,i49597,Amia|genus Amia,Q4064288
02641942-n,paddlefishes,i49599,Polyodontidae|family Polyodontidae,Q858011
02642416-n,a genus of Polyodontidae,i49602,Psephurus|genus Psephurus,Q18521053
02642723-n,sturgeons,i49604,Acipenseridae|family Acipenseridae,Q181871
02643083-n,type genus of the Acipenseridae: sturgeons,i49606,Acipenser|genus Acipenser,Q174020
02643693-n,comprises the genus Lepisosteus,i49609,Lepisosteidae|family Lepisosteidae,Q506144
02644238-n,"scorpionfishes, sculpins, gurnards, greenlings, flying gurnards",i49612,Scleroparei|order Scleroparei,Q208777
02646343-n,stonefishes,i49622,Synanceja|genus Synanceja,Q13396094
02646619-n,rockfishes,i49624,Sebastes|genus Sebastes,Q149077
02647597-n,sculpins,i49630,Cottidae|family Cottidae,Q513998
02647773-n,type genus of the Cottidae: sculpins,i49631,Cottus|genus Cottus,Q134913
02648747-n,grubby,i49637,Myxocephalus|genus Myxocephalus,Q107269468
02649007-n,lumpfishes,i49639,Cyclopteridae|family Cyclopteridae,Q4057200
02649138-n,type genus of the Cyclopteridae: lumpfishes,i49640,Cyclopterus|genus Cyclopterus,Q18001776
02650133-n,poachers,i49646,Agonidae|family Agonidae,Q1030003
